"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"116448",1963,0.258696101391376,0.639166322266612,0.321497451439592,3.0083749396038,1.84598429535749,4.83156136268062,15.53
"116449",1964,0.242594891358099,0.636985679251567,0.324109116231191,2.60742695913352,1.76158325511924,4.57365384300522,18.1
"116450",1965,0.259056199262882,0.682041770047937,0.300098764242526,3.2558230132043,1.76330306169152,4.82306165571756,19.86
"116451",1966,0.281353001797075,0.669316855884783,0.302308943643379,2.96457935878172,1.81709010075545,4.76649461836516,22.695
"116452",1967,0.308235867446394,0.697184673888729,0.300866008372479,3.36542452089909,1.78594254306075,4.94216018050836,24.569
"116453",1968,0.314948226250236,0.664436789817479,0.298425433898329,2.69015540025577,1.63337604055085,4.47577821889611,28.044
"116454",1969,0.222514087860316,0.648268620099206,0.286897265047285,2.4071491501386,1.7097790405434,4.31737805024231,30.35
"116455",1970,0.229994094516543,0.625361890906996,0.286773157417143,2.49557433010765,1.76995117173434,4.40014397549773,34.729
"116456",1971,0.22848298359425,0.623106571288087,0.289358203668163,2.42590881921426,1.78980496032061,4.39573655838502,38.095
"116457",1972,0.25945736164115,0.642540837193566,0.284039287295814,2.64020176955888,1.73952015364636,4.45769893958155,35.92
"116458",1973,0.251191095636682,0.568670276890925,0.266454250150426,2.16481207899053,1.77386634461582,4.1691807804181,40.674
"116459",1974,0.231807315933883,0.577233777805691,0.260163527098159,2.2559349219434,1.98190839185269,4.38888817630521,41.662
"116460",1975,0.290743130241048,0.505083430573477,0.302200321553804,1.45455201321703,1.78356548499073,3.96611508871814,-13.875
"116461",1976,0.277746641531224,0.549765955584471,0.330501023576888,1.77349097246629,1.80996873746657,4.24287779503881,88.099
"116462",1977,0.25792610250298,0.56388557806913,0.314898688915375,1.84986413043478,1.82765196662694,4.24187392405555,101.1
"116463",1978,0.247584669285487,0.558870368404289,0.289627348975475,1.73252103278213,1.79488268393672,4.06970533552027,103.8
"116464",1979,0.25804915221947,0.56248809297009,0.26738426366927,1.70149253731343,1.75900171461231,3.96232214096217,108.1
"116465",1980,0.245875285557154,0.569337507403334,0.280565191640579,1.69655487109286,1.81986716304256,4.05901797351785,115.2
"116466",1981,0.219920256430303,0.578219060276757,0.29114220936596,1.72845563139932,1.81479243217888,4.08912742491721,113.4
"116467",1982,0.197703098504702,0.627100354555264,0.304995375366117,2.14368790889266,1.82449591490674,4.34172359801055,200.5
"116468",1983,0.206106870229008,0.617025627044711,0.282443429661941,1.99856938483548,1.62288781352236,4.00699224754693,132.1
"116469",1984,0.0524263691440225,0.591326255173655,0.277847759582509,0.412916348843122,1.56103413112591,3.13305296320897,368.1
"116470",1985,0.100689473778735,0.681826476928612,0.323503460693738,0.65477902406289,1.69752661927271,3.62396538717391,131.5
"116471",1986,0.0207273774109971,0.665147298723731,0.310622301122733,0.757631978411199,1.60286872660973,3.46121320130023,298.8
"116472",1987,-0.0192099668021933,0.638964526838002,0.257823865119922,0.824362027900646,1.41482338020814,3.08671394212821,198.8
"116473",1988,-0.0364777585736378,0.610449073652931,0.240789593377604,0.817325177715325,1.31865732739016,2.89832566648676,188.4
"116474",1989,-0.0386680037753657,0.658742331288344,0.216051203397829,0.930751708428246,1.37202100047192,2.96169356086218,284.3
"116475",1990,-0.0181895769989865,0.687923401077506,0.236304475382728,1.02933535397272,1.38192777511068,3.11531196724752,473
"116476",1991,-0.0385653879464058,0.73949258749809,0.26183198329003,1.22298980747452,1.47399256202557,3.39691110657625,507.6
"116477",1992,0.0412453300124533,0.723163138231631,0.264707347447073,0.939800946951396,1.54186799501868,3.39803846496741,489.2
"116478",1993,0.00719831960539048,0.75922210946166,0.252271600859078,0.678923802353687,1.48578036864837,3.19998699063987,684.2
"116479",1994,0.0555816712555682,0.815235153224543,0.260246681440691,0.67956237311076,1.46889620128489,3.2903172778965,493.8
"116480",1995,0.0370135459611289,0.853780636977302,0.2852580075205,0.563409710663314,1.58648575182349,3.45593240013854,736.6
"116481",1996,-0.132752475247525,0.788910891089109,0.216831683168317,0.340375836076017,1.32209900990099,2.70913270263708,875.4
"116482",1997,-0.038871576185009,0.196510578973266,0.244628505822536,0.257081003066931,1.40029932753813,2.40410705802749,350.5
"116483",1998,-0.0439473423735524,0.212867465109373,0.191151143224785,0.213806857774467,1.33863208947837,2.1684488060299,332.7
"116484",1999,-0.0038679892694491,0.205003431280804,0.223220413001435,0.203528970091353,1.45240917503691,2.39939690530931,244
"116485",2000,-0.180912117313073,0.217654147008966,0.219819047035517,0.22444233269981,1.42039907685395,2.24944091197663,875.4
"116486",2001,-0.0294736029936539,0.0977277549524526,0.115849777211967,0.0917648545345421,0.8538568369886,1.31227845511499,-2839.1
"116487",2002,-0.12246435665848,0.0997720000391416,0.148395682678853,0.0959975118508826,0.812589903418042,1.3090490049808,1244.2
"116488",2003,-0.0946944520467608,0.148424365641006,0.15444540016421,0.164231416996677,0.86127184579896,1.46620787113657,1210.1
"116489",2004,-0.0671152135231317,0.209575177935943,0.167370996441281,0.264519758121221,0.890967897390273,1.64969451356512,1407.4
"116490",2005,-0.0913802071019907,0.254385550144215,0.174031869119107,0.275449896270565,0.962428483616247,1.76685455291574,1559.2
"116491",2006,-0.148702632070189,0.241198431958186,0.172465932424865,0.239329091960671,1.01798581295501,1.7499949966709,1277
"116492",2007,-0.116434149337545,0.297446696499079,0.173291216986926,0.284748055461617,1.03325436518382,1.85765191778541,1338
"116493",2008,-0.094189658322675,0.246208660697972,0.184725013703636,0.152453148031164,1.17138680796638,1.94801972469456,996
"116494",2009,0.0241071428571429,0.313839285714286,0.190982142857143,0.254565826330532,1.12276785714286,2.10392818277311,106
"116495",2010,-0.0227061703384823,0.355195408120199,0.175993922512028,0.222634891158568,1.0464252553389,1.96922236290481,696
"116496",2011,-0.0240315939836988,0.358205192840938,0.16939752961936,0.173587138771082,1.10898243845055,1.99215834183482,1399
"116497",2012,-0.0752766069546891,0.308482613277134,0.111564805057956,0.190412468513854,0.934997365648051,1.56704390326686,-258
"116498",2013,-0.0367067338761794,0.37566240144759,0.203761147731679,0.298727563832477,0.956249192193357,2.00475548245782,1076
"116499",2014,-0.0675773774170131,0.361380584702699,0.0904771332409424,0.226711103885547,0.962383686398733,1.59442641127266,1382
"116500",2015,-0.163969865705863,0.34202423845398,0.0978054372748117,0.162108631065742,0.882541762201114,1.42487193359658,1311
"116501",2016,-0.101515452319502,0.330620078088809,0.115147905499305,0.144861585134623,0.859175435113493,1.48331211921429,111
"116502",2017,-0.088256880733945,0.345321100917431,0.135412844036697,0.156635037530095,0.79039755351682,1.50453796958527,796
"116503",2018,-0.0771653543307087,0.346006749156355,0.106130483689539,0.177894808836605,0.761923509561305,1.40260305255727,617
