"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"35847",1967,0.378122634367903,0.723624148372445,0.178694171082513,4.68887740490725,1.51154428463285,4.91707607819125,34.782
"35848",1968,0.41102980546136,0.723924683205426,0.209917901124398,4.09636987111269,1.51579510976263,4.79332636139472,34.377
"35849",1969,0.419341634283344,0.759228570655751,0.196333997529551,5.31690758523277,1.59490582539153,5.37856148098941,36.858
"35850",1970,0.383903827923461,0.738303016690394,0.219916498485544,4.37737675509099,1.59332318190977,5.01251703323663,39.652
"35851",1971,0.35931865650162,0.706557340752932,0.202411861517229,3.39309150801473,1.52260345247496,4.42963587699963,43.179
"35852",1972,0.331407760198265,0.694612412604608,0.159984650827096,3.01360548000044,1.50469825991913,4.09043155265752,42.997
"35853",1973,0.34966772936201,0.747671758307456,0.20505647841449,3.96479273918796,1.70266575907238,4.88557359768597,43.697
"35854",1974,0.349886755281013,0.712757530136925,0.201517370053656,3.14327432471828,1.78110105165342,4.57840296625096,43.526
"35855",1975,0.388637752853711,0.750684701077042,0.206538066062993,3.74879053126617,1.83087054174307,4.95789780565746,43.818
"35856",1976,0.380356323729239,0.741422958084143,0.20462649622212,3.2120977370287,1.76859513073281,4.65061424339666,61.725
"35857",1977,0.388124451492786,0.746882287488009,0.205807377714644,3.28193447391881,1.76232665677818,4.68755253429259,42.221
"35858",1978,0.35849810298595,0.661029958543826,0.190222186274647,2.39597855303024,1.63716562909311,4.0481581375905,41.104
"35859",1979,0.273178999006655,0.661001506234241,0.19128722310595,2.11367852965905,1.69607179842256,3.93049165754088,103.448
"35860",1980,0.249223840522498,0.575428323907186,0.164458562330844,1.43238901127149,1.57325083790816,3.34876175813232,-22.905
"35861",1981,0.213739368055934,0.569496086190865,0.15942489119924,1.3850458078038,1.62383378006749,3.33325280064076,119.867
"35862",1982,0.232979383195114,0.565804010362811,0.160170612221706,1.30380101684826,1.57853184934793,3.26690351942654,27.39
"35863",1983,0.240468485206061,0.576641016306599,0.173511253938565,1.39126582477665,1.65322152621735,3.43417704026266,97.36
"35864",1984,0.245016772890448,0.569257060947987,0.163498805943947,1.34946237134989,1.65486486217453,3.38415787527038,116.652
"35865",1985,0.237737048850781,0.565450200510764,0.150412406026605,1.33260878575787,1.63637460128614,3.30952267148516,140.609
"35866",1986,0.256531000421676,0.553382546958956,0.151910481633569,1.27831896669881,1.58489024661709,3.24324804314944,86.552
"35867",1987,0.240809061488673,0.557119741100324,0.135728155339806,1.30494588093806,1.45320388349515,3.06462264216227,147.1
"35868",1988,0.138408687943262,0.528479609929078,0.125886524822695,1.12442888506497,1.34887522163121,2.75642829440459,113.7
"35869",1989,0.0939447114773277,0.452150250502276,0.136186770428016,0.847253323169279,1.4425116350042,2.6689349234898,130.7
"35870",1990,0.0892700942754398,0.417144523277286,0.147220332393819,0.714593453009504,1.50787248517835,2.67972763203093,287.4
"35871",1991,0.0579657748855146,0.466666666666667,0.186864304651723,0.769006474850993,1.49532417449988,2.83273176740078,134.1
"35872",1992,0.0463732831090082,0.526666360420782,0.20492443382792,0.88011112075701,1.4385594193578,2.92136523840594,644.5
"35873",1993,-0.0335477284328739,0.400857580398162,0.195017866258295,0.551670551670552,1.34480857580398,2.4952137501294,554.5
"35874",1994,-0.0128205128205128,0.475360576923077,0.210336538461538,0.690145732130465,1.34014423076923,2.67427887576403,489
"35875",1995,-0.092319873317498,0.4486144101346,0.186223277909739,0.659716653301256,1.15249406175772,2.31964884870165,129
"35876",1996,-0.0921290711700844,0.493516284680338,0.201598311218335,0.721578947368421,1.15772014475271,2.43678556440861,476
"35877",1997,-0.216442173711101,0.54513082520514,0.2427620374671,0.286521388216303,1.23300820560458,2.4116795930524,1618
"35878",1998,-0.241966980294692,0.62879460323096,0.270015977276762,0.183806519453207,1.18870939108823,2.46156905594063,867
"35879",1999,-0.335385729808041,0.70463600144875,0.237595074248461,0.0444486476262531,1.16334661354582,2.27425137296645,1233
"35880",2000,-0.358737490377213,0.797921478060046,0.25,0.027080450681953,1.20612009237875,2.41045635279681,967
"35881",2001,-0.320398177830268,0.730048928631685,0.213598785220179,-0.040006478781989,1.12434621224903,2.15757217346193,159
"35882",2002,-0.258521237545884,0.775563712637651,0.185981471770669,-0.0195372750642674,1.07201538192624,2.11105286571055,-32
"35883",2003,-0.240612409347301,0.795809830781628,0.182111200644641,0.0665177036782399,1.07622884770346,2.16936515512584,54
"35884",2004,-0.128539325842697,0.814681647940075,0.169588014981273,0.15066367867609,1.06501872659176,2.25095005590538,166
"35885",2005,-0.0723140495867769,0.862750885478158,0.177685950413223,0.23065746458409,1.11393152302243,2.43955086948187,507
"35886",2006,-0.108005082592122,0.83138500635324,0.145235069885642,0.28974106850213,0.933036848792884,2.13085084216353,555
"35887",2007,-0.0701318851823119,1.07975174553918,0.192086889061288,0.251456310679612,1.22063615205586,2.78488566134657,2123
"35888",2008,-0.109669447018845,1.20064874884152,0.199721964782206,0.255624515128006,1.2354031510658,2.899147282452,1540
"35889",2009,-0.0127146631439894,1.25,0.209379128137384,0.136636636636637,1.25264200792602,3.00769864894617,626
"35890",2010,-0.0602294455066922,1.27852135117909,0.217335882727852,0.173181223115766,1.22307202039516,3.00834764971882,421
"35891",2011,-0.00378898280384727,1.27630428446517,0.197464296123579,0.188692334373916,1.12489070241912,2.89372629777893,1335
"35892",2012,-0.0457886676875957,1.34885145482389,0.189127105666156,0.159446022727273,1.1802450229709,2.94211648727899,791
