"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"162374",1965,0.1989756816507,0.495880619012528,0.219565217391304,1.6884063713448,1.87914517317612,3.82938313727653,19.23
"162375",1966,0.209967195188628,0.409409513395298,0.182476763258611,1.10731918080479,1.65308911973756,3.17912863767667,21.02
"162376",1967,0.221517622304051,0.448947922146239,0.18250920568122,1.32066995458763,1.74986849026828,3.40719326151597,23.46
"162377",1968,0.195242636151727,0.450784064420428,0.180567916931553,1.27162841298571,1.79762661580843,3.41094288662204,25.14
"162378",1969,0.103093136927649,0.433704962046237,0.162063558794501,1.15943254342422,1.71301650767646,3.14134950210408,27.15
"162379",1970,0.128203774929245,0.349541823075756,0.131976065286088,0.817507151089755,1.48119858291716,2.61962285482233,36.413
"162380",1971,0.179453693188682,0.368090221567159,0.131136588783918,0.880735276166172,1.4804141397057,2.69524422445139,5.77699999999999
"162381",1972,0.158213546654809,0.378192767478451,0.12911949309071,0.890829129478722,1.49656566390751,2.70266341899934,20.456
"162382",1973,0.129109896456704,0.353535467754057,0.11852941381134,0.765709423657592,1.4768871600746,2.55581856934961,47.588
"162383",1974,0.207970991913938,0.335529180908517,0.124915490906351,0.676617628656438,1.5077646919014,2.61034941423114,-55.904
"162384",1975,0.228042867648299,0.390076683439412,0.147733846364777,0.851274387645131,1.70189065479695,3.00893286393068,135.807
"162385",1976,0.260044757240619,0.413451172445108,0.165071838614471,0.954751555787733,1.76917847760516,3.21615921065849,83.699
"162386",1977,0.203143179520244,0.393771766579234,0.173924553922502,0.903670484004746,1.73190510382017,3.12754483194037,82.723
"162387",1978,0.148253593500451,0.401614801882144,0.177881992321962,0.932851059750262,1.7773236646926,3.16471137633666,106.198
"162388",1979,0.123818732390074,0.392737714955381,0.166480812972542,0.778143009946863,1.7629177552383,3.02489474550209,103.652
"162389",1980,0.103106973499636,0.378390525577184,0.168258553379655,0.718551856442801,1.74839753062,2.96389631577844,71.274
"162390",1981,0.0999772988377547,0.36890645716197,0.158571931750595,0.678721112631514,1.73215068740647,2.89057973776885,239.941
"162391",1982,0.0583520688300497,0.343965375324988,0.153326206816536,0.648002261479659,1.78655184826856,2.86470132522387,239.1
"162392",1983,0.0956991078704881,0.34097845349845,0.118255453459643,0.630816874588194,1.70231893306657,2.68870208688292,403.684
"162393",1984,0.134285477644473,0.329173795965036,0.140436504970476,0.598469803910932,1.55521581825491,2.61489181785773,516.029
"162394",1985,0.163590384316479,0.344730447167809,0.130528687883384,0.456739666527318,1.37458883802842,2.37850394785356,306.748
