"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"480246",1999,0.0170424578059072,-0.0583135548523207,0.117978639240506,0.797688888888889,0.883339926160338,1.54599007304852,3006
"480247",2000,-0.00841159186495362,-0.0226997753067926,0.0737454629256208,0.369460589643111,0.509535057901711,0.867558767693893,-13227
"480248",2001,-0.0334958242230904,-0.00317215670812574,0.0889996057206351,0.726423267326733,0.607100612925194,1.16080263625085,6488
"480249",2002,0.00502626970227671,0.0411033274956217,0.110105078809107,0.826148138672125,0.520542907180385,1.24699887323354,2469
"480250",2003,0.00443619802648225,0.0881841949903011,0.10075061145315,0.927654039993497,0.523066542970397,1.30254002360844,4387
"480251",2004,0.0107462288079028,0.118458817247363,0.0886897610465892,0.996468667754939,0.536894273127753,1.33793607687411,2697
"480252",2005,-0.00990837787186784,0.135177344346498,0.0904074408273756,1.05557339040485,0.591986534323593,1.42243020760299,4009
"480253",2006,-0.0399287436571058,0.145013855400007,0.0945586065426278,1.05684888411858,0.618202756684781,1.44883429935082,4721
"480254",2007,-0.0933772594237642,0.152574529731002,0.0721839012839557,0.670671777482923,0.547718147456356,1.11485937066884,1029
"480255",2008,0.00510479089381401,0.116538254224928,0.0813278797679064,0.543079407015999,0.669028821459146,1.25083787360121,-2498
"480256",2009,0.0144347513265581,0.160101328057079,0.0880474862847378,0.635118550881155,0.605360194262074,1.2904183466958,3940
"480257",2010,0.00588735320970941,0.133583099833139,0.0712569131799053,0.603804741604462,0.516397485543977,1.10772402910676,-3484
"480258",2011,-0.0239031512090114,0.121220840393448,0.0759934780523674,0.601907398861714,0.579366348029029,1.15265595155999,4771
"480259",2012,0.00992342139431357,0.103659344444739,0.0565462783857548,0.747049138510771,0.463910013513872,1.04734667649032,672
"480260",2013,-0.0162630759265129,0.145127279242527,0.058106040767948,0.808819487820112,0.486500268754221,1.11702910184628,9180
"480261",2014,-0.0337798398563197,0.107924867170546,0.0661079099004715,0.712232431600021,0.512519643792562,1.08322171915422,3442
"480262",2015,-0.0312524863548844,0.170488359880973,0.0661489744283373,0.806263132141726,0.471587925465048,1.13679573676522,5649
"480263",2016,-0.0964769735773018,0.16293997204979,0.062790470928532,0.69270159403133,0.42125190938932,0.975270234509896,4881
"480264",2017,-0.131090652680283,0.202047251580599,0.0658384699488187,0.707270166314535,0.410337669745995,0.988272614506591,4934
"480265",2018,-0.145594541599579,0.22096637918666,0.0711951410033637,0.692592392478928,0.413492961788009,1.00752532064724,2754
