"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"46662",1963,0.313758278145695,0.511963990066225,0.246957781456954,1.68481733574108,1.31912251655629,3.45000356453774,38.26
"46663",1964,0.302627815516625,0.491692885234179,0.262942438326779,1.53904565652531,1.4901680371827,3.58399705024903,43.358
"46664",1965,0.286916513300987,0.505890915174837,0.262707043667392,1.60726562091047,1.44554124142546,3.56814124958949,49.72
"46665",1966,0.278521137355198,0.507227320595757,0.278290958327065,1.54033891568383,1.47314578005115,3.61111303662873,55.392
"46666",1967,0.2700627090301,0.5263127090301,0.281535674470457,1.64758946129524,1.45359531772575,3.65682886833709,61.363
"46667",1968,0.246019199601047,0.525355940655779,0.280950006233637,1.63676947251461,1.47836928063832,3.65713963775049,69.679
"46668",1969,0.229408001212966,0.535939296548445,0.290951110335139,1.69114351335227,1.56835628129333,3.7979110651962,78.131
"46669",1970,0.23959287197858,0.545588137330641,0.286648034305815,1.86109246279186,1.59717412507942,3.9001552953177,87.485
"46670",1971,0.262393794234538,0.561773777319241,0.292134567770855,1.98223375532651,1.56049294458841,3.96153097785598,93.701
"46671",1972,0.282180360226792,0.580230153465415,0.290867342257673,2.09457500295233,1.52336164038541,3.99753950900703,100.3
"46672",1973,0.297171753102853,0.589515491672894,0.280710461128459,2.10743495915029,1.53833007497336,4.00493526881434,106.119
"46673",1974,0.276411026811983,0.581586744497269,0.225349014012633,1.98457521621895,1.64167417374415,3.86286248155925,117.979
"46674",1975,0.269276135210583,0.641028083924455,0.264527094955087,2.55251611831518,1.67916711478123,4.30577301029951,135.743
"46675",1976,0.255822189900077,0.642589529306424,0.270617278241825,2.48196593535072,1.59365580978885,4.20139991599482,159.112
"46676",1977,0.224553188217398,0.631459812232708,0.266692686752194,2.33564416579798,1.6007195393006,4.10295392450919,181.5
"46677",1978,0.190690519775376,0.612281671730922,0.262535968604712,2.06310728546879,1.67953250880437,4.01370543677353,221.248
"46678",1979,0.143443247879539,0.598822684510762,0.244837714939211,1.88230388968516,1.68867374167813,3.84662643068891,244.68
"46679",1980,0.164615407651946,0.562116315619956,0.225566558826198,1.55852150658794,1.73595321373699,3.682037404966,207.679
"46680",1981,0.176706787878414,0.591772958843755,0.224017969126294,1.75483400810968,1.65200134314001,3.70968191698468,328.972
"46681",1982,0.152286849818851,0.456142941493928,0.181637685772209,1.29561663968487,1.2694139562054,2.87092514942036,-209.426
"46682",1983,0.179657045356512,0.452115945411124,0.189872613840799,1.26600409351098,1.30628055178034,2.93708022843859,383.068
"46683",1984,0.102895353741644,0.423641542561735,0.177490066822053,0.87360452175674,1.2359683004359,2.58447225577152,590.288
"46684",1985,0.140110796609413,0.421998746245841,0.151555652592957,0.760225465517699,1.14587490525805,2.39165364281047,625.493
"46685",1986,0.117586376481148,0.418701741538266,0.158242850397007,0.723476049396743,1.03524469504748,2.26764448960742,537.841
"46686",1987,0.00211368238633916,0.452223190306814,0.162785019795202,0.628201720575271,0.916556281087085,2.06888950013109,1374.686
"46687",1988,0.0505374592046935,0.586278281569353,0.21451942471303,0.814871958512268,1.11908001651408,2.6584129943786,1963.923
"46688",1989,-0.00657165872867922,0.677462313475003,0.208364322231742,0.726589106515649,1.08249285001599,2.60198193843141,2005.113
"46689",1990,-0.0165671375237425,0.69535211997775,0.215620142167861,0.708997548914418,1.10327049885931,2.64585931813783,782.559
"46690",1991,0.00261033875709365,0.725914137032807,0.228130244595511,0.763518332266618,1.13198293008276,2.77591822068845,1523.999
"46691",1992,-0.0955077183776161,0.714247207773771,0.250643100112614,0.542802126209562,1.18294770851871,2.72379516906721,1098.729
"46692",1993,-0.0613093752599617,0.751850927543466,0.262207803011397,0.616377571601452,1.1610514932202,2.8251465278307,1734
"46693",1994,-0.0700641533914799,0.777193108916601,0.267281770345275,0.606043065524427,1.16571758091256,2.85641525900444,1996
"46694",1995,-0.12618841832325,0.833721162156772,0.277774084169935,0.558814384910353,1.19792566983578,2.90896066808346,2550
"46695",1996,-0.0925685291751748,0.904708867025555,0.266041705340016,0.615292353823088,1.14757750139224,2.93021348843863,2388
"46696",1997,-0.0832349468713105,0.977272727272727,0.298760330578512,0.759268875272614,1.113813459268,3.12679765016468,3353
"46697",1998,-0.118046487333507,0.970070514494646,0.263254113345521,0.782256563023646,0.982658657612954,2.86418202129103,1610
"46698",1999,-0.156130046709522,0.891689404800444,0.221754613143412,0.785549132947977,0.91592285991768,2.57632891544783,808
"46699",2000,-0.129643851396755,0.899395219352981,0.246424114428338,0.808820975863865,0.981952577517519,2.75416631509466,2519
"46700",2001,-0.0561181246375519,0.928090288620244,0.252040861845921,1.028504207764,0.896284070125351,2.85541000609748,3119
"46701",2002,0.000448961266887066,0.875841802375413,0.222766417697237,0.929060703881584,0.79849802048896,2.62140169170389,3526
"46702",2003,0.0186526223392583,0.903079511374442,0.209567698046961,1.06323573800181,0.769658400994807,2.64408720833689,3779
"46703",2004,0.0358476713378236,0.886040795479937,0.197210074376736,1.03527806652807,0.70105659654611,2.52338230650405,2457
"46704",2005,0.0140687124069732,1.00689842661501,0.208074217555306,1.26576890333566,0.785129303021035,2.82459881189902,7025
"46705",2006,-0.0149851483496312,1.07389113239662,0.220171544905383,1.33385888845093,0.803924840636785,2.94545215189918,6803
"46706",2007,-0.0258845824955511,0.851903210150454,0.173796482470129,1.02725941323759,0.666920890244748,2.34002444640686,-517
"46707",2008,-0.0200399812433673,0.884498630272218,0.217083343616575,1.04109031733116,0.788370887731681,2.63333170114108,4423
